HardcoreORE
HardcoreArmor
HardcoreORE Configuration
Invar Nugget
Invar Plate
Invar Dust
Invar Ingot
Invar Block
Invar Rod
Copper Ingot
Silver Ingot
Nitre
Tin Ingot
Lead Ingot
Nickel Ingot
Uranium Ingot
Aluminum Ingot
Yellorium Ingot
Osmium Ingot
Bauxite Ingot
Titanium Ingot
Iridium Ingot
Bronze Ingot
Platinum Ingot
Zinc Ingot
Refined Obsidian Ingot
Gold Ingot
Iron Ingot
Fire Ingot
Sapphire Rod
Alumite Rod
Glowstone Rod
Enderium
Obsidian Rod
Chromium Rod
Copper Rod
Silver Rod
Tin Rod
Lead Rod
Nickel Rod
Uranium Rod
Aluminum Rod
Yellorium Rod
Osmium Rod
Bauxite Rod
Titanium Rod
Iridium Rod
Bronze Rod
Platinum Rod
Zinc Rod
Refined Obsidian Rod
Emerald Rod
Diamond Rod
Iron Rod
Gold Rod
Steel Rod
Signalum Rod
Copper Nugget
Silver Nugget
Lead Nugget
Tin Nugget
Nickel Nugget
Uranium Nugget
Aluminum Nugget
Iron Nugget
Yellorium Nugget
Osmium Nugget
Bauxite Nugget
Titanium Nugget
Iridium Nugget
Platinum Nugget
Zinc Nugget
Gold Nugget
Bronze Nugget
Copper Dust
Silver Dust
Lead Dust
Tin Dust
Nickel Dust
Uranium Dust
Iron Dust
Gold Dust
Aluminum Dust
Diamond Dust
Yellorium Dust
Osmium Dust
Bauxite Dust
Titanium Dust
Iridium Dust
Platinum Dust
Zinc Dust
Saw Dust
Enriched Iron Dust
Refined Obsidian Dust
Bronze Dust
Yellorium Ore
Copper Ore
Silver Ore
Nitre Ore
Tin Ore
Lead Ore
Nickel Ore
Uranium Ore
Aluminum Ore
Osmium Ore
Bauxite Ore
Titanium Ore
Iridium Ore
Platinum Ore
Zinc Ore
Fire Ore
Yellorite Block
Bauxite Block
Osmium Block
Aluminum Block
Uranium Block
Nickel Block
Lead Block
Tin Block
Copper Block
Silver Block
Titanium Block
Iridium Block
Platinum Block
Zinc Block
Sapphire Block
Bronze Block
Gold Block
Iron Block
Steel Ingot
Alumite Ingot
Sapphire Dust
Steel Dust
Obsidian Dust
Sulfur Dust
Coal Dust
Enderium Dust
Enderium Ingot
Enderium Nugget
Enderium Block
Sapphire Gem
Salt
Sapphire Ore
Alumite Block
Glowstone Block
Glowstone Ingot
Glowstone Dust
Salt Block
